date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2016/4/11,2141.2,2145,2139.6,2169.6,6363,11050,1.243798227
2016/4/12,2149.4,2143.8,2135,2150.6,5823,9826,1.243798227
2016/4/13,2166,2169,2160.4,2203.2,6941,7879,1.243798227
2016/4/14,2188.4,2178.2,2166.6,2194.8,5242,4130,1.243798227
2016/4/15,2184.8,2181.8,2172,2188,3263,0,1.243798227
2016/4/18,2165,2149.8,2140.4,2165,5351,11927,1.248835237
2016/4/19,2164,2155,2145.4,2170,5103,11965,1.248835237
2016/4/20,2158.6,2123,2080.2,2165.8,7585,12588,1.248835237
2016/4/21,2126,2136.4,2119.8,2162.6,6920,12769,1.248835237
2016/4/22,2123.4,2147.8,2121.2,2154,5767,12824,1.248835237
2016/4/25,2139,2136.8,2111.4,2143,5531,12592,1.248835237
2016/4/26,2142.4,2141.4,2125.2,2164.6,5395,12720,1.248835237
2016/4/27,2147.2,2131.6,2122.8,2149.8,4584,12628,1.248835237
2016/4/28,2140.8,2124.6,2119.6,2142.8,4858,12886,1.248835237
2016/4/29,2127.6,2124.6,2120,2134.8,4156,12360,1.248835237
2016/5/3,2131.4,2155,2113.6,2165,5732,12770,1.248835237
2016/5/4,2148,2149.2,2138.6,2152.8,4443,12122,1.248835237
2016/5/5,2142.8,2146.2,2136,2147.4,3920,11888,1.248835237
2016/5/6,2145.4,2091.2,2091.2,2148,5872,12397,1.248835237
2016/5/9,2090.8,2060.2,2054.2,2092,5470,11961,1.248835237
2016/5/10,2050,2064.4,2050,2078,4725,11430,1.248835237
2016/5/11,2072.6,2070.8,2060.8,2082,4752,11022,1.248835237
2016/5/12,2064.4,2076,2048.2,2083.2,5091,10672,1.248835237
2016/5/13,2074.6,2073.2,2066.4,2084.8,4542,9633,1.248835237
2016/5/16,2069.8,2077.8,2056.8,2082.6,4786,8923,1.248835237
2016/5/17,2079.8,2075.6,2063.4,2084.8,4992,7123,1.248835237
2016/5/18,2065.8,2068.8,2044.6,2076.8,5260,5082,1.248835237
2016/5/19,2066.6,2066.4,2062.8,2084.6,4035,2494,1.248835237
2016/5/20,2046.2,2061,2043.2,2064.2,4527,12953,1.258580343
2016/5/23,2063.6,2064.2,2060.4,2081.6,4673,12940,1.258580343
2016/5/24,2062.8,2052.8,2046.6,2065.6,4470,13200,1.258580343
2016/5/25,2069.6,2057,2055,2072,4538,13548,1.258580343
2016/5/26,2059.6,2057.2,2044.6,2078.4,5025,13751,1.258580343
2016/5/27,2059.4,2062.2,2053.2,2066.4,3829,13532,1.258580343
2016/5/30,2061.8,2075,2048.6,2077.2,4580,13697,1.258580343
2016/5/31,2075.4,2144,2075.4,2149.8,7182,13777,1.258580343
2016/6/1,2141.4,2126.4,2125.2,2145,4981,12837,1.258580343
2016/6/2,2129,2126.6,2120.2,2136.4,3693,12456,1.258580343
2016/6/3,2136.8,2142.8,2125.6,2149.8,4722,12324,1.258580343
2016/6/6,2142,2129.8,2127.2,2153.8,4100,11711,1.258580343
2016/6/7,2135.6,2132.6,2130.4,2139.6,3439,11285,1.258580343
2016/6/8,2134,2127.4,2114.6,2134,3816,10957,1.258580343
2016/6/13,2097.2,2060.6,2060.6,2113,5337,10044,1.258580343
2016/6/14,2067.8,2084,2065,2093.6,5223,8145,1.258580343
2016/6/15,2063,2092.6,2061.2,2110.4,5583,5724,1.258580343
2016/6/16,2086.6,2092.6,2084.2,2098.2,3877,3168,1.258580343
2016/6/17,2095.2,2103.4,2095.2,2116.6,2617,0,1.258580343
2016/6/20,2074.4,2069,2053.2,2079,4447,10905,1.281984452
2016/6/21,2073.4,2068.8,2064,2102,5010,11549,1.281984452
2016/6/22,2067.4,2080,2062.2,2084,4213,11464,1.281984452
2016/6/23,2083.8,2074.2,2065.2,2084.4,4361,11874,1.281984452
2016/6/24,2072,2047,2022.2,2089.4,5764,12505,1.281984452
2016/6/27,2055,2072.6,2051.8,2073.6,4393,12208,1.281984452
2016/6/28,2065.8,2078.6,2060.2,2080.4,3885,12320,1.281984452
2016/6/29,2082.8,2099.8,2082,2102.6,4462,12603,1.281984452
2016/6/30,2106.4,2100.8,2099,2113.2,4281,12400,1.281984452
2016/7/1,2108.2,2105,2103.2,2115,4116,12930,1.281984452
2016/7/4,2106.2,2138.8,2102,2151.8,4803,13032,1.281984452
2016/7/5,2140.4,2145.6,2137.2,2152.6,3842,12742,1.281984452
2016/7/6,2138.6,2144.2,2126.2,2146.4,3931,12427,1.281984452
2016/7/7,2144,2145.8,2134.8,2151.4,3781,12288,1.281984452
2016/7/8,2140,2137.8,2132.8,2145.4,4355,11684,1.281984452
2016/7/11,2148.6,2146,2140,2166.8,5283,10620,1.281984452
2016/7/12,2150,2193.4,2149.2,2198.6,5626,9510,1.281984452
2016/7/13,2200,2192,2190.6,2222,5947,6508,1.281984452
2016/7/14,2195,2192.4,2181.6,2198.8,3831,3672,1.281984452
2016/7/15,2193.8,2191.4,2187.6,2199.6,2691,0,1.281984452
2016/7/18,2186.6,2177.4,2175.2,2197.8,3733,9970,1.284681145
2016/7/19,2178.2,2160,2150.2,2184.8,4444,10369,1.284681145
2016/7/20,2158.8,2153.4,2152.4,2167.6,3640,10113,1.284681145
2016/7/21,2156.8,2167.4,2156,2174.2,3942,10229,1.284681145
2016/7/22,2163.2,2145.4,2144.2,2166.8,3919,10328,1.284681145
2016/7/25,2152.2,2148.4,2144.4,2157.4,3455,10280,1.284681145
2016/7/26,2141.8,2175.6,2141.2,2178,4352,10273,1.284681145
2016/7/27,2175.8,2153,2114.8,2181.4,6261,10615,1.284681145
2016/7/28,2151,2159.8,2141.8,2164.8,5089,10335,1.284681145
2016/7/29,2158.8,2152,2143.2,2161.6,4049,9890,1.284681145
2016/8/1,2151,2137.8,2132.4,2153,3980,9809,1.284681145
2016/8/2,2142.4,2139,2132.6,2147.8,2799,9640,1.284681145
2016/8/3,2131.2,2136.8,2130.2,2146.4,2902,9643,1.284681145
2016/8/4,2136.4,2136.6,2120,2140.4,2898,9686,1.284681145
2016/8/5,2135.4,2142.6,2130,2155,3431,9840,1.284681145
2016/8/8,2142.6,2152,2132.2,2153.6,3198,9618,1.284681145
2016/8/9,2154,2166.2,2150.8,2171.4,3143,9439,1.284681145
2016/8/10,2167.8,2167,2162.2,2173.4,2705,9155,1.284681145
2016/8/11,2168.2,2172.8,2165,2210.4,4498,9254,1.284681145
2016/8/12,2172.8,2214.8,2171.2,2221.4,4288,8699,1.284681145
2016/8/15,2222,2280.2,2218.8,2311.6,5743,8184,1.284681145
2016/8/16,2294.6,2258.6,2253.2,2301.4,5555,5810,1.284681145
2016/8/17,2264,2251.8,2240.4,2274,4129,3996,1.284681145
2016/8/18,2249,2239,2228.4,2271.6,4315,13242,1.285594615
2016/8/19,2237.2,2243.8,2223,2248.2,4481,14505,1.285594615
2016/8/22,2244,2233,2227.2,2251.8,4034,14613,1.285594615
2016/8/23,2231.2,2235,2224.6,2252.8,4704,14832,1.285594615
2016/8/24,2238,2225.2,2215.6,2239.6,4414,15372,1.285594615
2016/8/25,2219,2212.2,2196.6,2219,4748,15492,1.285594615
2016/8/26,2214,2211,2208.6,2226.8,4098,15718,1.285594615
2016/8/29,2212.6,2205.2,2190.4,2213,3935,15963,1.285594615
2016/8/30,2209.8,2219.2,2206.6,2225.6,3754,15634,1.285594615
2016/8/31,2218,2226.2,2213,2235.8,3769,15622,1.285594615
2016/9/1,2224,2211.6,2210.4,2228.8,3675,15410,1.285594615
2016/9/2,2209,2218.8,2209,2223.8,4046,14913,1.285594615
2016/9/5,2224.8,2220.6,2220.4,2239.6,4104,14549,1.285594615
2016/9/6,2222.6,2230,2206.2,2238,4817,14318,1.285594615
2016/9/7,2230.2,2234,2226,2243.2,4375,13704,1.285594615
2016/9/8,2233.6,2230.6,2227.8,2235.4,3656,12872,1.285594615
2016/9/9,2230.4,2224.8,2222.2,2236.8,3861,11919,1.285594615
2016/9/12,2194.4,2187.6,2168,2196.6,6215,9971,1.285594615
2016/9/13,2188.2,2186,2183.2,2193.2,5535,7311,1.285594615
2016/9/14,2180,2175,2170.8,2184,4789,3623,1.285594615
2016/9/19,2175.6,2187.2,2175,2189.8,2412,0,1.285594615
2016/9/20,2175.2,2172.4,2165,2175.2,3075,14392,1.294114756
2016/9/21,2172.4,2176.6,2168.6,2181,3147,14604,1.294114756
2016/9/22,2184.8,2189.6,2181.2,2204.4,3909,14838,1.294114756
2016/9/23,2189,2184.4,2184.4,2194.4,3340,14921,1.294114756
2016/9/26,2179.2,2160.8,2158.6,2179.8,4390,15198,1.294114756
2016/9/27,2156.8,2168.2,2154.2,2172.4,4303,14578,1.294114756
2016/9/28,2168,2163.8,2159.2,2168.6,3314,14627,1.294114756
2016/9/29,2168.6,2173.4,2168.6,2182.6,3326,14262,1.294114756
2016/9/30,2168.8,2175.4,2166.2,2180.6,2848,14024,1.294114756
2016/10/10,2190.8,2199.6,2181,2208.8,4067,14013,1.294114756
2016/10/11,2200,2204,2198,2207.6,3465,13112,1.294114756
2016/10/12,2199.2,2198.2,2194,2200.6,2679,12399,1.294114756
2016/10/13,2194.8,2194.6,2190.6,2204.4,2874,11761,1.294114756
2016/10/14,2194.6,2206.2,2187.4,2208,3337,11009,1.294114756
2016/10/17,2202.2,2186.2,2153.4,2204,3832,9843,1.294114756
2016/10/18,2187.2,2220.6,2186,2222.8,4619,8440,1.294114756
2016/10/19,2223,2217.4,2215,2230.4,4685,5930,1.294114756
2016/10/20,2219,2221.2,2217.8,2227.8,3968,3187,1.294114756
2016/10/21,2215.2,2234.4,2215.2,2248.8,2284,0,1.294114756
2016/10/24,2226.2,2258.8,2226.2,2274,4700,15355,1.300049461
2016/10/25,2258.8,2253.2,2250.4,2260.8,3059,15383,1.300049461
2016/10/26,2253.2,2244.8,2241,2260,3302,15467,1.300049461
2016/10/27,2246.2,2241.8,2233.4,2247.4,3158,15390,1.300049461
2016/10/28,2242.2,2247.4,2242.2,2264.8,3972,15294,1.300049461
2016/10/31,2242.8,2242.8,2222.4,2246,2863,15190,1.300049461
2016/11/1,2243,2253.8,2238.8,2257.8,3327,15207,1.300049461
2016/11/2,2243.2,2240.6,2231,2249.4,3072,14915,1.300049461
2016/11/3,2237.4,2263,2235,2276.6,4321,15300,1.300049461
2016/11/4,2262,2263.4,2259.6,2277.8,3516,14911,1.300049461
2016/11/7,2270,2269,2260,2274.4,2919,14443,1.300049461
2016/11/8,2274.8,2281,2270.4,2293.6,3831,14299,1.300049461
2016/11/9,2281.4,2263.8,2224.6,2281.8,5439,13787,1.300049461
2016/11/10,2279.2,2287,2279.2,2295.4,4226,12380,1.300049461
2016/11/11,2281.8,2308.4,2278,2315,4790,11931,1.300049461
2016/11/14,2301.6,2314.8,2299,2335,5067,10674,1.300049461
2016/11/15,2317.2,2309,2303.2,2317.2,3890,8782,1.300049461
2016/11/16,2311.2,2306.2,2300.4,2314.8,4190,6600,1.300049461
2016/11/17,2292.6,2302.6,2282,2303.4,4242,18482,1.305029192
2016/11/18,2303,2296.8,2292,2311.4,4196,20026,1.305029192
2016/11/21,2300,2321.6,2294.4,2337.2,4969,20994,1.305029192
2016/11/22,2325.2,2343,2325.2,2343,4387,20922,1.305029192
2016/11/23,2343.2,2349.8,2336,2361.4,4741,20947,1.305029192
2016/11/24,2346.6,2356,2344.4,2367.8,4132,21020,1.305029192
2016/11/25,2359.8,2390.4,2345.4,2392.2,4553,20937,1.305029192
2016/11/28,2400,2403.4,2391.2,2422,4823,20547,1.305029192
2016/11/29,2398,2445,2390.6,2460.4,5902,20927,1.305029192
2016/11/30,2435,2419.4,2415.2,2451.8,6482,20127,1.305029192
2016/12/1,2424.8,2434.2,2417,2452,5127,19843,1.305029192
2016/12/2,2429.8,2412.6,2405,2436.4,5985,18488,1.305029192
2016/12/5,2376.8,2370.2,2365,2393,5675,17599,1.305029192
2016/12/6,2376.4,2366.6,2365,2381.8,3966,16755,1.305029192
2016/12/7,2369,2370.6,2360,2374.8,3629,15911,1.305029192
2016/12/8,2380,2377,2371.4,2382,3585,14965,1.305029192
2016/12/9,2376,2407.6,2366.4,2417.6,4988,14803,1.305029192
2016/12/12,2408.8,2380.4,2362.6,2420.4,6119,13099,1.305029192
2016/12/13,2376.6,2370.2,2361.2,2383.6,5807,10675,1.305029192
2016/12/14,2370.2,2358.8,2358.4,2386.8,5503,7887,1.305029192
2016/12/15,2347.8,2304,2296.6,2357.8,5570,4462,1.305029192
2016/12/16,2304,2303.6,2297.2,2313.6,3105,0,1.305029192
2016/12/19,2291.6,2281.4,2275.4,2293.8,3879,16694,1.311862998
2016/12/20,2281,2266.8,2248.8,2286.8,4947,17168,1.311862998
2016/12/21,2275.2,2290.2,2270.6,2296,4511,17200,1.311862998
2016/12/22,2285.2,2278.6,2270.4,2290,3425,17348,1.311862998
2016/12/23,2276.2,2263,2256,2280.6,3346,17333,1.311862998
2016/12/26,2251,2283,2236.4,2288.2,4039,17680,1.311862998
2016/12/27,2280,2275,2272.2,2292.4,3351,17471,1.311862998
2016/12/28,2275.2,2268,2260,2279.8,3605,17578,1.311862998
2016/12/29,2261.6,2265.8,2258.2,2281.4,3708,17758,1.311862998
2016/12/30,2270.6,2273.4,2269,2283.8,3269,17811,1.311862998
2017/1/3,2279,2299,2274,2311.2,4262,17908,1.311862998
