date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2012/12/7,2208.6,2254.8,2205.6,2258.8,763753,65959,0.827784392
2012/12/10,2262,2268.4,2255.8,2277,634588,63877,0.827784392
2012/12/11,2267,2261.4,2257.2,2272.6,498505,59073,0.827784392
2012/12/12,2264,2268.4,2255,2275.6,594351,59049,0.827784392
2012/12/13,2268,2252.6,2247,2268.6,538086,52392,0.827784392
2012/12/14,2253,2374.2,2251.4,2375.6,823839,49950,0.827784392
2012/12/17,2372.8,2373,2362,2379,436666,32689,0.827784392
2012/12/18,2373,2366,2347.4,2410,357599,18991,0.827784392
2012/12/19,2375,2369.6,2359.4,2385.4,116981,12411,0.827784392
2012/12/20,2375,2408.2,2363,2417.2,703775,80595,0.822922426
2012/12/21,2415,2392.2,2380.2,2436.6,835617,76346,0.822922426
2012/12/24,2389,2390.8,2388,2417.6,677618,81648,0.822922426
2012/12/25,2386.4,2453,2381.4,2478.8,871318,83728,0.822922426
2012/12/26,2453.6,2461.8,2453.2,2466.2,418392,80660,0.822922426
2012/12/27,2472,2466.6,2453.6,2497,613278,80503,0.822922426
2012/12/28,2465.8,2499,2462.8,2502,662844,83214,0.822922426
2012/12/31,2501.6,2538,2501,2544,601829,84272,0.822922426
2013/1/4,2565,2533.2,2503.2,2567.4,572312,80197,0.822922426
2013/1/7,2537.8,2533.2,2523.2,2554.4,615196,77931,0.822922426
2013/1/8,2537,2531.2,2506.6,2548.8,729477,74965,0.822922426
2013/1/9,2531.6,2525.4,2509,2543.8,629921,72606,0.822922426
2013/1/10,2529.4,2537.8,2512.6,2562.2,724539,71891,0.822922426
2013/1/11,2542,2498.6,2481.8,2547.8,784689,69875,0.822922426
2013/1/14,2497.2,2586.6,2489.8,2598.2,744878,67427,0.822922426
2013/1/15,2587.8,2596.4,2583,2608.6,445268,42949,0.822922426
2013/1/16,2597.4,2570,2528,2602.8,381661,18722,0.822922426
2013/1/17,2571.6,2561,2539.6,2575.8,126436,8653,0.822922426
2013/1/18,2568.2,2592.6,2552,2598,46770,0,0.822922426
2013/1/21,2614,2608.2,2587,2621,646027,62810,0.817311018
2013/1/22,2610.8,2602.6,2579.2,2616.8,774966,57939,0.817311018
2013/1/23,2604,2615.6,2582.4,2616.2,694347,60301,0.817311018
2013/1/24,2614.8,2590.6,2572.8,2673.6,955841,59709,0.817311018
2013/1/25,2598,2592.8,2581.6,2601.2,511247,61245,0.817311018
2013/1/28,2593,2654.4,2590.4,2660.6,757860,67310,0.817311018
2013/1/29,2656,2671,2653.6,2687.4,583643,56989,0.817311018
2013/1/30,2681,2699,2661.2,2700.4,608180,54492,0.817311018
2013/1/31,2699,2699.8,2676.6,2703.6,613606,50386,0.817311018
2013/2/1,2695.2,2746.4,2675.2,2753.8,802633,50768,0.817311018
2013/2/4,2751,2749.4,2739.2,2768.4,573541,47006,0.817311018
2013/2/5,2737.8,2773.4,2737,2795.2,605971,43394,0.817311018
2013/2/6,2779,2785.6,2776.4,2797.6,287375,31017,0.817311018
2013/2/7,2798,2800.4,2756.8,2808.4,605910,95248,0.812411352
2013/2/8,2801,2784.2,2778.8,2830.2,621985,100096,0.812411352
2013/2/18,2792,2752.4,2738,2800.8,612964,102076,0.812411352
2013/2/19,2753.2,2709.2,2696.8,2756.8,646104,105182,0.812411352
2013/2/20,2713.2,2710.4,2696,2717.4,546146,103771,0.812411352
2013/2/21,2697,2615.2,2590.4,2697.8,771496,85980,0.812411352
2013/2/22,2615.2,2593.2,2593.2,2625.4,450508,85493,0.812411352
2013/2/25,2587.8,2605,2584,2642,724593,82218,0.812411352
2013/2/26,2591.2,2564.6,2560,2638.8,822719,74542,0.812411352
2013/2/27,2581,2587.6,2572.2,2622,875982,73801,0.812411352
2013/2/28,2605,2678.4,2597.4,2685,875442,74621,0.812411352
2013/3/1,2671.4,2666.6,2622.4,2683,735902,66070,0.812411352
2013/3/4,2651.4,2548,2537.4,2653,854502,77151,0.812411352
2013/3/5,2553,2616,2549.6,2628,911314,71084,0.812411352
2013/3/6,2627.8,2648,2621,2664,841192,64366,0.812411352
2013/3/7,2653,2615.6,2588.2,2659.4,913853,62076,0.812411352
2013/3/8,2623,2611.6,2602,2637.8,759730,60136,0.812411352
2013/3/11,2615.4,2592.6,2569,2619.2,720874,57651,0.812411352
2013/3/12,2596,2552.8,2526.2,2624,856038,46642,0.812411352
2013/3/13,2550,2529,2510,2555.4,617195,35301,0.812411352
2013/3/14,2520,2524,2505.2,2547.8,250020,18150,0.812411352
2013/3/15,2526.2,2568.6,2503.6,2610.6,92810,0,0.812411352
2013/3/18,2505.2,2510.8,2501,2555,786031,66097,0.823699296
2013/3/19,2520,2529.8,2497,2544,808569,67406,0.823699296
2013/3/20,2529,2610,2525.8,2613.2,1027964,69845,0.823699296
2013/3/21,2621,2617,2604,2633,646577,69785,0.823699296
