date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2016/1/21,5849.8,5990,5655,5679,13357,15924,1
2016/1/22,5780,5836,5615.8,5779.8,12855,16430,1
2016/1/25,5815.2,5912,5750.6,5800,10339,16152,1
2016/1/26,5750,5767.8,5370.8,5401.2,12248,16676,1
2016/1/27,5450,5456.8,5112.2,5280.4,14261,17346,1
2016/1/28,5250,5346.4,5132,5155,11986,17118,1
2016/1/29,5177,5421,5160.2,5329.8,13534,17250,1
2016/2/1,5339,5394.4,5212.6,5323,11210,16823,1
2016/2/2,5334,5546.8,5330.8,5523.6,11870,16643,1
2016/2/3,5470,5584,5411,5556.8,11301,15852,1
2016/2/4,5600,5719.2,5600,5695,11228,15626,1
2016/2/5,5683,5708.8,5611,5617,8330,14114,1
2016/2/15,5531.8,5675,5461,5651.4,9579,13380,1
2016/2/16,5689,5908,5681,5881,9115,11442,1
2016/2/17,5870,5969,5836,5947,7984,8589,1
2016/2/18,6000,6036.4,5931.6,5950.2,5978,5317,1
2016/2/19,5939.6,5985.6,5931.6,5969.2,3806,0,1
2016/2/22,5815.2,5924.8,5803.6,5869.2,12135,20565,1
2016/2/23,5861.2,5885.6,5760,5845,11641,20712,1
2016/2/24,5828.8,5922.6,5720,5881.8,14074,20866,1
2016/2/25,5880.8,5898.6,5300,5361,16289,20947,1
2016/2/26,5433.6,5496.8,5333,5417.8,14435,21084,1
2016/2/29,5399.8,5407.8,5036,5075.2,16685,20867,1
2016/3/1,5075.6,5288,5072.6,5227.4,16946,20637,1
2016/3/2,5260.2,5625,5251.2,5587.8,17043,20637,1
2016/3/3,5588,5736,5582,5603.8,15720,20055,1
2016/3/4,5603.8,5671,5383,5452,17931,19314,1
2016/3/7,5567,5717.6,5515.8,5595,15686,18679,1
2016/3/8,5511,5677,5365,5661,17416,19015,1
2016/3/9,5551.8,5607,5461,5500,14368,18471,1
2016/3/10,5548,5598.8,5371,5396,15160,18455,1
2016/3/11,5351,5478.6,5321,5413.2,14291,18117,1
2016/3/14,5560,5738,5515.4,5629.6,15660,16512,1
2016/3/15,5627,5678.8,5571.4,5608,12151,14163,1
2016/3/16,5700,5711,5482.8,5565.4,12799,11604,1
2016/3/17,5602.2,5796.8,5561.2,5760,10005,6316,1
2016/3/18,5780,5976,5780,5944.6,4699,0,1
2016/3/21,5870.4,5957,5845.2,5929.8,14424,22327,1
2016/3/22,5881.6,5989.8,5865.4,5921.6,12716,22529,1
2016/3/23,5920,5975.6,5868.4,5949.2,13235,23020,1
2016/3/24,5900.8,5963.2,5832.2,5843.4,17212,22843,1
2016/3/25,5860,5945,5845.4,5910.4,13715,22661,1
2016/3/28,5965.6,6065,5838,5857,15579,22891,1
2016/3/29,5860.2,5884.4,5720,5788.8,16820,22247,1
2016/3/30,5868,6033.6,5827,6020.8,16645,22100,1
2016/3/31,6033.2,6085.2,6013.8,6020,14844,21598,1
2016/4/1,6000.4,6030,5863.2,6028,16667,20879,1
2016/4/5,6006,6240.8,5993.6,6190.4,16082,21156,1
2016/4/6,6190.4,6237.6,6172,6223.4,12384,20581,1
2016/4/7,6248.4,6284.4,6139.6,6156,15000,20086,1
2016/4/8,6138.2,6138.2,6030.2,6114.2,15056,19253,1
2016/4/11,6170,6316.2,6170,6237,14493,17578,1
2016/4/12,6230,6266.4,6140.8,6239.8,14188,15441,1
